id;tipoConta;nome;email;documento;registro;ufRegistro;rnp;rne;titulo;situacao;cidadeExibicao;sobre;verificado;identidadeVerificada;primeiroAcesso;demonstracao;profissionalId;criadoEm;extras
u-prof-030;profissional;Leonardo Monteiro Costa;leonardo.costa@exemplo.com;395.461.807-93;045046/D;AM;2602447520;;Engenheiro civil;Ativo;Maués, AM;Engenheiro civil com atuação em modelagem bim e planejamento de obra. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-030;2026-09-12 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 045046/D"", ""perfilDemonstracao"": true}"
u-prof-031;profissional;Carlos Vieira Farias;carlos.farias@exemplo.com;678.172.466-53;;AM;;;Engenheiro mecânico;Em regularização;Itacoatiara, AM;Engenheiro mecânico com atuação em vasos de pressão (nr-13) e montagem industrial. Acervo ainda em formação.;nao;;nao;sim;prof-031;2026-05-03 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-032;profissional;Leonardo Santana Cardoso;leonardo.cardoso@exemplo.com;220.284.852-56;048033/D;AM;2647441910;;Engenheiro civil;Ativo;Tefé, AM;Engenheiro civil com atuação em compatibilização de projetos e revit. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-032;2026-08-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 048033/D"", ""perfilDemonstracao"": true}"
u-prof-033;profissional;Sérgio Farias Ramos;sérgio.ramos@exemplo.com;802.579.781-35;039320/D;AM;2647737074;;Engenheiro ambiental;Ativo;Maués, AM;Engenheiro ambiental com atuação em monitoramento ambiental e recuperação de áreas degradadas. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-033;2026-09-16 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 039320/D"", ""perfilDemonstracao"": true}"
u-prof-034;profissional;Fábio Soares Teixeira;fábio.teixeira@exemplo.com;688.784.999-27;035754/D;AM;2611738810;;Engenheiro civil;Ativo;Manaus, AM;Engenheiro civil com atuação em fundações profundas e fiscalização de obra. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-034;2026-06-04 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 035754/D"", ""perfilDemonstracao"": true}"
u-prof-035;profissional;Priscila Costa Silva;priscila.silva@exemplo.com;797.855.756-16;034873/D;AM;2693681039;;Engenheira sanitarista;Ativo;Maués, AM;Engenheira sanitarista com atuação em estações de tratamento e hidrossanitário predial. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-035;2026-06-01 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 034873/D"", ""perfilDemonstracao"": true}"
u-prof-036;profissional;Aline Pinheiro Teixeira;aline.teixeira@exemplo.com;554.836.708-09;025902/D;RR;2621359146;;Engenheira mecânica;Ativo;Boa Vista, RR;Engenheira mecânica com atuação em sistemas de combate a incêndio e tubulação industrial. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-036;2026-07-16 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-RR 025902/D"", ""perfilDemonstracao"": true}"
u-prof-037;profissional;Caio Souza Farias;caio.farias@exemplo.com;853.162.448-77;030522/D;AM;2613644673;;Engenheiro eletricista;Ativo;Humaitá, AM;Engenheiro eletricista com atuação em automação predial e energia solar fotovoltaica. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-037;2026-06-03 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 030522/D"", ""perfilDemonstracao"": true}"
u-prof-038;profissional;Helena Nascimento Rocha;helena.rocha@exemplo.com;774.836.403-67;045581/D;AM;2693094333;;Engenheira ambiental;Ativo;Parintins, AM;Engenheira ambiental com atuação em recuperação de áreas degradadas e pgrs. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-038;2026-04-01 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 045581/D"", ""perfilDemonstracao"": true}"
u-prof-039;profissional;Pedro Menezes Lima;pedro.lima@exemplo.com;191.722.903-82;050816/D;AM;2632749614;;Geólogo;Ativo;Manaus, AM;Geólogo com atuação em hidrogeologia e estabilidade de taludes. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-039;2026-09-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 050816/D"", ""perfilDemonstracao"": true}"
u-prof-040;profissional;Paula Barbosa Dias;paula.dias@exemplo.com;750.580.777-36;025401/D;RO;2641688779;;Engenheira ambiental;Ativo;Porto Velho, RO;Engenheira ambiental com atuação em licenciamento e pgrs. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-040;2026-07-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-RO 025401/D"", ""perfilDemonstracao"": true}"
u-prof-041;profissional;Camila Pinheiro Freitas;camila.freitas@exemplo.com;457.910.169-30;016524/D;AM;2617574622;;Engenheira civil;Ativo;Manaus, AM;Engenheira civil com atuação em compatibilização de projetos e orçamento e sinapi. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-041;2026-07-06 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 016524/D"", ""perfilDemonstracao"": true}"
u-prof-042;profissional;Otávio Castro Silva;otávio.silva@exemplo.com;938.327.174-47;030154/D;AM;2658338143;;Engenheiro civil;Ativo;Iranduba, AM;Engenheiro civil com atuação em revit e compatibilização de projetos. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-042;2026-05-04 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 030154/D"", ""perfilDemonstracao"": true}"
u-prof-043;profissional;Marcelo Castro Santana;marcelo.santana@exemplo.com;435.115.937-51;043895/D;RO;2635631947;;Engenheiro eletricista;Ativo;Porto Velho, RO;Engenheiro eletricista com atuação em laudo de instalações elétricas e subestação. 4 documentos confirmados no Crea.;sim;;nao;sim;prof-043;2026-08-17 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-RO 043895/D"", ""perfilDemonstracao"": true}"
u-prof-044;profissional;Henrique Almeida Lopes;henrique.lopes@exemplo.com;736.674.714-91;026455/D;PA;2601344907;;Engenheiro mecânico;Ativo;Santarém, PA;Engenheiro mecânico com atuação em vasos de pressão (nr-13) e climatização. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-044;2026-06-07 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-PA 026455/D"", ""perfilDemonstracao"": true}"
u-prof-045;profissional;Wagner Barbosa Nascimento;wagner.nascimento@exemplo.com;231.245.287-19;016874/D;AM;2679093014;;Engenheiro civil;Ativo;Presidente Figueiredo, AM;Engenheiro civil com atuação em alvenaria estrutural e concreto armado. 5 documentos confirmados no Crea.;sim;;nao;sim;prof-045;2026-06-04 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 016874/D"", ""perfilDemonstracao"": true}"
u-prof-046;profissional;Bruno Ferreira Silva;bruno.silva@exemplo.com;327.440.430-60;041325/D;AM;2685306297;;Engenheiro civil;Ativo;Itacoatiara, AM;Engenheiro civil com atuação em concreto armado e fundações profundas. 3 documentos confirmados no Crea.;sim;;nao;sim;prof-046;2026-07-14 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 041325/D"", ""perfilDemonstracao"": true}"
u-prof-047;profissional;João Dias Ferreira;joão.ferreira@exemplo.com;428.243.143-11;028117/D;AM;2626095131;;Engenheiro agrônomo;Ativo;Tefé, AM;Engenheiro agrônomo com atuação em georreferenciamento rural e irrigação. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-047;2026-04-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 028117/D"", ""perfilDemonstracao"": true}"
u-prof-048;profissional;Yasmin Farias Castro;yasmin.castro@exemplo.com;918.381.495-70;041044/D;AM;2685860841;;Engenheira ambiental;Ativo;Iranduba, AM;Engenheira ambiental com atuação em pgrs e outorga de água. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-048;2026-09-16 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 041044/D"", ""perfilDemonstracao"": true}"
u-prof-049;profissional;João Carvalho Queiroz;joão.queiroz@exemplo.com;441.586.627-10;037156/D;AM;2664259750;;Engenheiro ambiental;Ativo;Coari, AM;Engenheiro ambiental com atuação em licenciamento e estudos de impacto. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-049;2026-03-05 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 037156/D"", ""perfilDemonstracao"": true}"
u-prof-050;profissional;Letícia Carvalho Castro;letícia.castro@exemplo.com;520.426.511-25;;AM;;;Geóloga;Em regularização;Manaus, AM;Geóloga com atuação em estabilidade de taludes e sondagem. Acervo ainda em formação.;nao;;nao;sim;prof-050;2026-09-13 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-051;profissional;Juliana Tavares Vieira;juliana.vieira@exemplo.com;269.583.590-62;032570/D;AM;2672115177;;Engenheira agrônoma;Ativo;Maués, AM;Engenheira agrônoma com atuação em receituário agronômico e sistemas agroflorestais. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-051;2026-04-16 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 032570/D"", ""perfilDemonstracao"": true}"
u-prof-052;profissional;Carolina Barbosa Santos;carolina.santos@exemplo.com;105.286.594-13;037700/D;AM;2686616832;;Engenheira civil;Ativo;Manaus, AM;Engenheira civil com atuação em modelagem bim e revit. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-052;2026-06-01 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 037700/D"", ""perfilDemonstracao"": true}"
u-prof-053;profissional;Pedro Almeida Farias;pedro.farias@exemplo.com;551.830.007-78;015860/D;AM;2650453096;;Engenheiro civil;Ativo;Humaitá, AM;Engenheiro civil com atuação em alvenaria estrutural e fiscalização de obra. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-053;2026-03-10 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 015860/D"", ""perfilDemonstracao"": true}"
u-prof-054;profissional;Wagner Tavares Monteiro;wagner.monteiro@exemplo.com;655.572.234-79;058807/D;AM;2656226916;;Engenheiro mecânico;Ativo;Manaus, AM;Engenheiro mecânico com atuação em vasos de pressão (nr-13) e climatização. 6 documentos confirmados no Crea.;sim;;nao;sim;prof-054;2026-07-18 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 058807/D"", ""perfilDemonstracao"": true}"
u-prof-055;profissional;Igor Farias Carvalho;igor.carvalho@exemplo.com;830.226.549-79;;RR;;;Engenheiro sanitarista;Em regularização;Boa Vista, RR;Engenheiro sanitarista com atuação em drenagem urbana e hidrossanitário predial. Acervo ainda em formação.;nao;;nao;sim;prof-055;2026-09-02 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-056;profissional;Igor Souza Moraes;igor.moraes@exemplo.com;898.233.843-80;056932/D;AM;2684059886;;Engenheiro civil;Ativo;Manaus, AM;Engenheiro civil com atuação em modelagem bim e planejamento de obra. 2 documentos confirmados no Crea.;sim;;nao;sim;prof-056;2026-03-11 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 056932/D"", ""perfilDemonstracao"": true}"
u-prof-057;profissional;Ana Tavares Carvalho;ana.carvalho@exemplo.com;906.192.275-59;012371/D;AM;2670498733;;Engenheira civil;Ativo;Manaus, AM;Engenheira civil com atuação em cálculo estrutural e estruturas metálicas. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-057;2026-05-08 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 012371/D"", ""perfilDemonstracao"": true}"
u-prof-058;profissional;Fábio Vieira Dias;fábio.dias@exemplo.com;548.344.744-10;;AM;;;Engenheiro agrônomo;Em regularização;Manacapuru, AM;Engenheiro agrônomo com atuação em receituário agronômico e georreferenciamento rural. Acervo ainda em formação.;nao;;nao;sim;prof-058;2026-08-12 10:00:00;"{""situacaoConta"": ""Não verificado"", ""registroExibicao"": ""Registro em regularização"", ""perfilDemonstracao"": true}"
u-prof-059;profissional;Ana Menezes Teixeira;ana.teixeira@exemplo.com;199.559.392-30;038237/D;AM;2613231370;;Engenheira ambiental;Ativo;Manaus, AM;Engenheira ambiental com atuação em estudos de impacto e pgrs. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-059;2026-07-18 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 038237/D"", ""perfilDemonstracao"": true}"
u-prof-060;profissional;Aline Menezes Cardoso;aline.cardoso@exemplo.com;170.361.387-26;021355/D;AM;2627351035;;Engenheira eletricista;Ativo;Manaus, AM;Engenheira eletricista com atuação em automação predial e projeto elétrico. 1 documentos confirmados no Crea.;sim;;nao;sim;prof-060;2026-04-01 10:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 021355/D"", ""perfilDemonstracao"": true}"
