id;nome;iniciais;cor;titulo;registro;rnp;cidade;uf;nota;avaliacoes;verificado;atendeEstado;areas;acervoPorArea;competencias;acervo;resumo
prof-033;Sérgio Farias Ramos;SR;;Engenheiro ambiental;CREA-AM 039320/D;2647737074;Maués;AM;0;0;sim;nao;"[""Ambiental""]";"{""Ambiental"": 4}";"[""Monitoramento ambiental"", ""Recuperação de áreas degradadas""]";"[{""tipo"": ""ART"", ""numero"": ""2022/176243"", ""atividade"": ""Recuperação de área degradada"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2022/5660"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2023/176935"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2024/6028"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}]";Engenheiro ambiental com atuação em monitoramento ambiental e recuperação de áreas degradadas. 4 documentos confirmados no Crea.
prof-034;Fábio Soares Teixeira;FT;avatar-roxo;Engenheiro civil;CREA-AM 035754/D;2611738810;Manaus;AM;4.2;9;sim;sim;"[""Estrutural""]";"{""Estrutural"": 4}";"[""Fundações profundas"", ""Fiscalização de obra"", ""Cálculo estrutural"", ""Laudos técnicos""]";"[{""tipo"": ""CAT"", ""numero"": ""2024/6083"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2024/6157"", ""atividade"": ""Projeto de fundação profunda"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2022/177796"", ""atividade"": ""Projeto de fundação profunda"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2026/6876"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}]";Engenheiro civil com atuação em fundações profundas e fiscalização de obra. 4 documentos confirmados no Crea.
prof-035;Priscila Costa Silva;PS;;Engenheira sanitarista;CREA-AM 034873/D;2693681039;Maués;AM;3.9;2;sim;sim;"[""Hidráulica"", ""Elétrica""]";"{""Hidráulica"": 3, ""Elétrica"": 2}";"[""Estações de tratamento"", ""Hidrossanitário predial"", ""Projeto elétrico""]";"[{""tipo"": ""ART"", ""numero"": ""2024/178292"", ""atividade"": ""Estação de tratamento de esgoto"", ""area"": ""Hidráulica""}, {""tipo"": ""CAT"", ""numero"": ""2022/7778"", ""atividade"": ""Projeto de rede de abastecimento"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2023/179550"", ""atividade"": ""Fiscalização de obra de saneamento"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2023/180354"", ""atividade"": ""Usina solar de 300 kWp"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2023/181252"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}]";Engenheira sanitarista com atuação em estações de tratamento e hidrossanitário predial. 5 documentos confirmados no Crea.
prof-036;Aline Pinheiro Teixeira;AT;avatar-roxo;Engenheira mecânica;CREA-RR 025902/D;2621359146;Boa Vista;RR;0;0;sim;nao;"[""Mecânica"", ""Agronomia""]";"{""Mecânica"": 3}";"[""Sistemas de combate a incêndio"", ""Tubulação industrial"", ""Montagem industrial"", ""Sistemas agroflorestais""]";"[{""tipo"": ""ART"", ""numero"": ""2022/181502"", ""atividade"": ""Inspeção de vasos de pressão"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/181820"", ""atividade"": ""Plano de manutenção industrial"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2024/182010"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}]";Engenheira mecânica com atuação em sistemas de combate a incêndio e tubulação industrial. 3 documentos confirmados no Crea.
prof-037;Caio Souza Farias;CF;avatar-verde;Engenheiro eletricista;CREA-AM 030522/D;2613644673;Humaitá;AM;4.2;15;sim;nao;"[""Elétrica"", ""Mecânica""]";"{""Elétrica"": 4, ""Mecânica"": 1}";"[""Automação predial"", ""Energia solar fotovoltaica"", ""Eficiência energética"", ""Montagem industrial""]";"[{""tipo"": ""ART"", ""numero"": ""2022/182275"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/182436"", ""atividade"": ""Projeto elétrico industrial"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2026/2897"", ""atividade"": ""SPDA de centro de distribuição"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2024/183755"", ""atividade"": ""Projeto elétrico industrial"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/184042"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}]";Engenheiro eletricista com atuação em automação predial e energia solar fotovoltaica. 5 documentos confirmados no Crea.
prof-038;Helena Nascimento Rocha;HR;avatar-roxo;Engenheira ambiental;CREA-AM 045581/D;2693094333;Parintins;AM;4.2;18;sim;sim;"[""Ambiental""]";"{""Ambiental"": 1}";"[""Recuperação de áreas degradadas"", ""PGRS"", ""Estudos de impacto"", ""Outorga de água""]";"[{""tipo"": ""CAT"", ""numero"": ""2025/4284"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}]";Engenheira ambiental com atuação em recuperação de áreas degradadas e pgrs. 1 documentos confirmados no Crea.
prof-039;Pedro Menezes Lima;PL;avatar-ambar;Geólogo;CREA-AM 050816/D;2632749614;Manaus;AM;4.4;18;sim;nao;"[""Geotecnia"", ""Mecânica""]";"{""Geotecnia"": 4, ""Mecânica"": 2}";"[""Hidrogeologia"", ""Estabilidade de taludes"", ""Sondagem"", ""Montagem industrial""]";"[{""tipo"": ""CAT"", ""numero"": ""2026/4977"", ""atividade"": ""Investigação geotécnica de terreno"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2025/185635"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2022/186397"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2024/186979"", ""atividade"": ""Estudo de estabilidade de talude"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2026/187630"", ""atividade"": ""Plano de manutenção industrial"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/187929"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}]";Geólogo com atuação em hidrogeologia e estabilidade de taludes. 6 documentos confirmados no Crea.
prof-040;Paula Barbosa Dias;PD;avatar-ambar;Engenheira ambiental;CREA-RO 025401/D;2641688779;Porto Velho;RO;4.0;31;sim;nao;"[""Ambiental"", ""Geotecnia""]";"{""Ambiental"": 2}";"[""Licenciamento"", ""PGRS"", ""Outorga de água"", ""Hidrogeologia""]";"[{""tipo"": ""CAT"", ""numero"": ""2026/8381"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2022/188946"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}]";Engenheira ambiental com atuação em licenciamento e pgrs. 2 documentos confirmados no Crea.
prof-041;Camila Pinheiro Freitas;CF;avatar-roxo;Engenheira civil;CREA-AM 016524/D;2617574622;Manaus;AM;4.9;15;sim;sim;"[""BIM""]";"{""BIM"": 2}";"[""Compatibilização de projetos"", ""Orçamento e SINAPI""]";"[{""tipo"": ""ART"", ""numero"": ""2026/189769"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""CAT"", ""numero"": ""2023/1384"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}]";Engenheira civil com atuação em compatibilização de projetos e orçamento e sinapi. 2 documentos confirmados no Crea.
prof-042;Otávio Castro Silva;OS;avatar-ambar;Engenheiro civil;CREA-AM 030154/D;2658338143;Iranduba;AM;4.6;2;sim;nao;"[""BIM"", ""Ambiental""]";"{""BIM"": 1, ""Ambiental"": 1}";"[""Revit"", ""Compatibilização de projetos"", ""Licenciamento""]";"[{""tipo"": ""ART"", ""numero"": ""2023/190808"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2026/191544"", ""atividade"": ""Recuperação de área degradada"", ""area"": ""Ambiental""}]";Engenheiro civil com atuação em revit e compatibilização de projetos. 2 documentos confirmados no Crea.
prof-043;Marcelo Castro Santana;MS;avatar-ambar;Engenheiro eletricista;CREA-RO 043895/D;2635631947;Porto Velho;RO;4.3;2;sim;sim;"[""Elétrica""]";"{""Elétrica"": 4}";"[""Laudo de instalações elétricas"", ""Subestação"", ""SPDA"", ""Automação predial""]";"[{""tipo"": ""ART"", ""numero"": ""2026/192429"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2026/192675"", ""atividade"": ""Laudo de instalações elétricas"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2024/4111"", ""atividade"": ""Laudo de instalações elétricas"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2026/193375"", ""atividade"": ""Usina solar de 300 kWp"", ""area"": ""Elétrica""}]";Engenheiro eletricista com atuação em laudo de instalações elétricas e subestação. 4 documentos confirmados no Crea.
prof-044;Henrique Almeida Lopes;HA;avatar-roxo;Engenheiro mecânico;CREA-PA 026455/D;2601344907;Santarém;PA;4.7;12;sim;sim;"[""Mecânica""]";"{""Mecânica"": 3}";"[""Vasos de pressão (NR-13)"", ""Climatização"", ""Sistemas de combate a incêndio""]";"[{""tipo"": ""ART"", ""numero"": ""2025/193797"", ""atividade"": ""Plano de manutenção industrial"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2022/194189"", ""atividade"": ""Sistema de combate a incêndio"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2025/194969"", ""atividade"": ""Plano de manutenção industrial"", ""area"": ""Mecânica""}]";Engenheiro mecânico com atuação em vasos de pressão (nr-13) e climatização. 3 documentos confirmados no Crea.
prof-045;Wagner Barbosa Nascimento;WN;;Engenheiro civil;CREA-AM 016874/D;2679093014;Presidente Figueiredo;AM;0;0;sim;nao;"[""Estrutural"", ""Ambiental""]";"{""Estrutural"": 3, ""Ambiental"": 2}";"[""Alvenaria estrutural"", ""Concreto armado"", ""Licenciamento""]";"[{""tipo"": ""CAT"", ""numero"": ""2024/6861"", ""atividade"": ""Laudo de estrutura de concreto"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2022/6927"", ""atividade"": ""Projeto estrutural de edifício residencial"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2024/196659"", ""atividade"": ""Projeto de estrutura metálica"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2022/197133"", ""atividade"": ""Outorga de captação de água"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2026/8668"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}]";Engenheiro civil com atuação em alvenaria estrutural e concreto armado. 5 documentos confirmados no Crea.
prof-046;Bruno Ferreira Silva;BS;avatar-roxo;Engenheiro civil;CREA-AM 041325/D;2685306297;Itacoatiara;AM;4.4;24;sim;nao;"[""Estrutural""]";"{""Estrutural"": 3}";"[""Concreto armado"", ""Fundações profundas""]";"[{""tipo"": ""CAT"", ""numero"": ""2025/0245"", ""atividade"": ""Projeto estrutural de edifício residencial"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2024/0676"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2023/199232"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}]";Engenheiro civil com atuação em concreto armado e fundações profundas. 3 documentos confirmados no Crea.
prof-047;João Dias Ferreira;JF;avatar-verde;Engenheiro agrônomo;CREA-AM 028117/D;2626095131;Tefé;AM;4.6;24;sim;sim;"[""Agronomia"", ""Mecânica""]";"{""Agronomia"": 2}";"[""Georreferenciamento rural"", ""Irrigação"", ""Sistemas agroflorestais"", ""Vasos de pressão (NR-13)""]";"[{""tipo"": ""CAT"", ""numero"": ""2024/1449"", ""atividade"": ""Plano de manejo de solo"", ""area"": ""Agronomia""}, {""tipo"": ""CAT"", ""numero"": ""2022/1487"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}]";Engenheiro agrônomo com atuação em georreferenciamento rural e irrigação. 2 documentos confirmados no Crea.
prof-048;Yasmin Farias Castro;YC;;Engenheira ambiental;CREA-AM 041044/D;2685860841;Iranduba;AM;4.9;2;sim;nao;"[""Ambiental""]";"{""Ambiental"": 2}";"[""PGRS"", ""Outorga de água"", ""Estudos de impacto"", ""Licenciamento""]";"[{""tipo"": ""CAT"", ""numero"": ""2023/1668"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2022/200374"", ""atividade"": ""Outorga de captação de água"", ""area"": ""Ambiental""}]";Engenheira ambiental com atuação em pgrs e outorga de água. 2 documentos confirmados no Crea.
prof-049;João Carvalho Queiroz;JQ;;Engenheiro ambiental;CREA-AM 037156/D;2664259750;Coari;AM;5.0;6;sim;sim;"[""Ambiental""]";"{""Ambiental"": 1}";"[""Licenciamento"", ""Estudos de impacto"", ""Outorga de água"", ""Monitoramento ambiental""]";"[{""tipo"": ""CAT"", ""numero"": ""2023/2693"", ""atividade"": ""Recuperação de área degradada"", ""area"": ""Ambiental""}]";Engenheiro ambiental com atuação em licenciamento e estudos de impacto. 1 documentos confirmados no Crea.
prof-050;Letícia Carvalho Castro;LC;;Geóloga;Registro em regularização;;Manaus;AM;0;0;nao;nao;"[""Geotecnia""]";{};"[""Estabilidade de taludes"", ""Sondagem"", ""Investigação geotécnica"", ""Hidrogeologia""]";[];Geóloga com atuação em estabilidade de taludes e sondagem. Acervo ainda em formação.
prof-051;Juliana Tavares Vieira;JV;avatar-roxo;Engenheira agrônoma;CREA-AM 032570/D;2672115177;Maués;AM;4.6;18;sim;nao;"[""Agronomia""]";"{""Agronomia"": 2}";"[""Receituário agronômico"", ""Sistemas agroflorestais"", ""Irrigação"", ""Manejo de solo""]";"[{""tipo"": ""ART"", ""numero"": ""2024/200743"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}, {""tipo"": ""ART"", ""numero"": ""2025/201451"", ""atividade"": ""Projeto de irrigação de fruticultura"", ""area"": ""Agronomia""}]";Engenheira agrônoma com atuação em receituário agronômico e sistemas agroflorestais. 2 documentos confirmados no Crea.
prof-052;Carolina Barbosa Santos;CS;avatar-verde;Engenheira civil;CREA-AM 037700/D;2686616832;Manaus;AM;4.0;6;sim;sim;"[""BIM""]";"{""BIM"": 1}";"[""Modelagem BIM"", ""Revit"", ""Planejamento de obra""]";"[{""tipo"": ""ART"", ""numero"": ""2023/201941"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}]";Engenheira civil com atuação em modelagem bim e revit. 1 documentos confirmados no Crea.
prof-053;Pedro Almeida Farias;PA;avatar-roxo;Engenheiro civil;CREA-AM 015860/D;2650453096;Humaitá;AM;4.4;18;sim;nao;"[""Estrutural""]";"{""Estrutural"": 2}";"[""Alvenaria estrutural"", ""Fiscalização de obra"", ""Fundações profundas""]";"[{""tipo"": ""ART"", ""numero"": ""2023/202351"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2024/4974"", ""atividade"": ""Reforço estrutural de galpão"", ""area"": ""Estrutural""}]";Engenheiro civil com atuação em alvenaria estrutural e fiscalização de obra. 2 documentos confirmados no Crea.
prof-054;Wagner Tavares Monteiro;WM;avatar-ambar;Engenheiro mecânico;CREA-AM 058807/D;2656226916;Manaus;AM;4.5;18;sim;sim;"[""Mecânica""]";"{""Mecânica"": 6}";"[""Vasos de pressão (NR-13)"", ""Climatização"", ""Montagem industrial""]";"[{""tipo"": ""ART"", ""numero"": ""2024/203854"", ""atividade"": ""Inspeção de vasos de pressão"", ""area"": ""Mecânica""}, {""tipo"": ""CAT"", ""numero"": ""2024/6618"", ""atividade"": ""Sistema de combate a incêndio"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2023/204805"", ""atividade"": ""Inspeção de vasos de pressão"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/205128"", ""atividade"": ""Sistema de combate a incêndio"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2024/205178"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2022/205895"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}]";Engenheiro mecânico com atuação em vasos de pressão (nr-13) e climatização. 6 documentos confirmados no Crea.
prof-055;Igor Farias Carvalho;IC;avatar-ambar;Engenheiro sanitarista;Registro em regularização;;Boa Vista;RR;3.9;1;nao;nao;"[""Hidráulica"", ""Ambiental""]";{};"[""Drenagem urbana"", ""Hidrossanitário predial"", ""Monitoramento ambiental""]";[];Engenheiro sanitarista com atuação em drenagem urbana e hidrossanitário predial. Acervo ainda em formação.
prof-056;Igor Souza Moraes;IM;;Engenheiro civil;CREA-AM 056932/D;2684059886;Manaus;AM;0;0;sim;sim;"[""BIM""]";"{""BIM"": 2}";"[""Modelagem BIM"", ""Planejamento de obra"", ""Orçamento e SINAPI"", ""Revit""]";"[{""tipo"": ""ART"", ""numero"": ""2024/206174"", ""atividade"": ""Modelagem BIM de edifício comercial"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2022/206581"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}]";Engenheiro civil com atuação em modelagem bim e planejamento de obra. 2 documentos confirmados no Crea.
prof-057;Ana Tavares Carvalho;AC;avatar-ambar;Engenheira civil;CREA-AM 012371/D;2670498733;Manaus;AM;3.9;15;sim;nao;"[""Estrutural""]";"{""Estrutural"": 1}";"[""Cálculo estrutural"", ""Estruturas metálicas""]";"[{""tipo"": ""CAT"", ""numero"": ""2026/8791"", ""atividade"": ""Laudo de estrutura de concreto"", ""area"": ""Estrutural""}]";Engenheira civil com atuação em cálculo estrutural e estruturas metálicas. 1 documentos confirmados no Crea.
prof-058;Fábio Vieira Dias;FD;avatar-ambar;Engenheiro agrônomo;Registro em regularização;;Manacapuru;AM;0;0;nao;sim;"[""Agronomia""]";{};"[""Receituário agronômico"", ""Georreferenciamento rural""]";[];Engenheiro agrônomo com atuação em receituário agronômico e georreferenciamento rural. Acervo ainda em formação.
prof-059;Ana Menezes Teixeira;AT;avatar-roxo;Engenheira ambiental;CREA-AM 038237/D;2613231370;Manaus;AM;5.0;15;sim;sim;"[""Ambiental""]";"{""Ambiental"": 1}";"[""Estudos de impacto"", ""PGRS"", ""Monitoramento ambiental""]";"[{""tipo"": ""CAT"", ""numero"": ""2023/0442"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}]";Engenheira ambiental com atuação em estudos de impacto e pgrs. 1 documentos confirmados no Crea.
prof-060;Aline Menezes Cardoso;AC;avatar-verde;Engenheira eletricista;CREA-AM 021355/D;2627351035;Manaus;AM;4.6;15;sim;nao;"[""Elétrica""]";"{""Elétrica"": 1}";"[""Automação predial"", ""Projeto elétrico"", ""Subestação""]";"[{""tipo"": ""ART"", ""numero"": ""2022/207972"", ""atividade"": ""Laudo de instalações elétricas"", ""area"": ""Elétrica""}]";Engenheira eletricista com atuação em automação predial e projeto elétrico. 1 documentos confirmados no Crea.
prof-eduardo;Eduardo Weber Martins Negreiros;EN;avatar-verde;Engenheiro eletricista;CREA-AM 052318/D;0425731986;Manaus;AM;4.7;4;sim;sim;"[""Elétrica"", ""BIM""]";"{""Elétrica"": 5, ""BIM"": 1}";"[""Projeto elétrico industrial"", ""SPDA e aterramento"", ""Energia solar fotovoltaica"", ""Subestação abrigada"", ""NR-10"", ""BIM · Revit MEP""]";"[{""tipo"": ""ART"", ""numero"": ""2026/214501"", ""atividade"": ""Projeto elétrico e SPDA de galpão logístico"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2026/214388"", ""atividade"": ""Projeto de usina solar fotovoltaica de 150 kWp"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/198770"", ""atividade"": ""Laudo de instalações elétricas industriais"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/187412"", ""atividade"": ""Projeto de subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2025/0912"", ""atividade"": ""Execução de SPDA e malha de aterramento"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/176305"", ""atividade"": ""Compatibilização BIM de instalações elétricas"", ""area"": ""BIM""}]";Engenheiro eletricista (UEA). Projetos elétricos prediais e industriais, SPDA, subestações abrigadas e usinas fotovoltaicas no Amazonas, modelados em BIM. 6 documentos confirmados no Crea.
